Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
11 Tips for .NET 6,"Microsoft .NET is equipped with so many libraries and APIs that sometimes it’s hard to keep track of it all. Even if you’ve been a .NET developer for years, you probably still encounter features that you didn’t know were there. Now’s the time to get your skills up to speed in this approachable course with instructor Walt Ritscher, exploring eleven key coding tips to boost your know-how in .NET 6.<br><br>Ramp up your developer skills today to improve your performance or land a new job. Learn the most essential, easy-to-use tricks to get the most out of the .NET experience, including single file deployment, SelectMany, DateOnly, Humanizer, ReadOnlyCollection, .Combine, fake test data with Bogus, adding version endpoints, counting Unicode string characters, ToLookup, and Zip files. Upon completing this course, you’ll be ready to tackle your next .NET coding challenge more efficiently, quickly, and with ease.",Course,2022-10-04 17:48 UTC,N/A,false,N/A,
React: Authentication,"User authentication is a critical part of virtually every website, yet few web developers know all the details behind how it works and how to use it to provide a good user experience. In this course, instructor Shaun Wassell dives into the details behind user authentication in the context of React and how to incorporate user authentication into React applications. Shaun begins with some definitions, steps, and basic authentication projects. Then he discusses in-depth email verification and how to set it up. Shaun explains how to give users the ability to reset their passwords, then describes the steps in setting up OAuth. He goes over several prebuilt authentication options, then concludes with some best practice recommendations.",Course,2021-09-07 05:37 UTC,N/A,false,N/A,
Introducing .NET Core,".NET is an open-source development platform, a collection of languages and libraries that can work together to build all kinds of applications. In this course, Scott Hanselman and Kendra Havens introduce you to .NET Core and walk you through how to build your first app. First, Scott and Kendra show you how to install the .NET software development kit (SDK) and how to install Visual Studio. Next, they teach you how to say Hello World with C#. They step you through some basics of Visual Studio and debugging. Next, they cover how to add a class library to your executable program. Kendra and Scott explore NuGet, a .NET package manager that lets you pull in code from other community members and use it in your programs. They go over how to write some unit tests in C# and run them with the Visual Studio Test Explorer. In conclusion, they demonstrate how to publish your app to Windows and to Linux.<br><br>This course was created by Microsoft.NET. We are pleased to host this training in our library.",Course,2021-12-18 03:35 UTC,N/A,false,N/A,
Transitioning from Waterfall to Agile Project Management,"Is your organization looking to realize the time, quality, and cost benefits of agile project management? If so, then this course is for you. Join project management trainer and agile expert Kelley O'Connell as she helps those interested in experimenting with agile understand the difference between traditional waterfall and agile methodologies, as well as what's required for success. Kelley provides advice on how to garner support for your pilot project by identifying supporters early on and keeping them engaged while also responding to detractors. She then leads you through the process of picking a pilot project, choosing the right team, and setting the vision. To wrap up, Kelley provides a short overview of agile basics—including how to approach sprint planning—to help you get started.",Course,2022-10-10 15:20 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-01-19 21:11 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2021-12-02 10:48 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-08-09 09:05 UTC,N/A,false,N/A,
SQL Server Database Triggers,"SQL Server database triggers help database developers automate routine tasks. Triggers wait for an activating event to occur, then immediately respond with preprogrammed operations. This course, from database expert Adam Wilbert, takes a deep dive into leveraging these powerful and flexible components of a SQL Server database. Follow along and learn how to create and deploy different types of triggers, and get hands-on experience using triggers to solve common problems, such as timestamping data changes or collecting information about table events. Adam also helps you manage your database triggers: enabling, disabling, and reordering triggers as necessary. Plus, follow along with a hands-on project in chapter six, which uses triggers to perform tasks automatically in an inventory management system, such as updating inventory when new product is received.",Course,2022-09-05 04:30 UTC,N/A,false,N/A,
ASP.NET Core in .NET 6: Dependency Injection,"If you’re a .NET developer or looking to enter the field, it’s essential to have a working understanding of dependency injection, a software development design pattern that allows for having objects that are not dependent on each other. In this course, .NET C# programmer David Grace provides an introduction to dependency injection, from configuration to implementation. He also talks through the advantages of DI and why you should use it. David shows how to implement dependency injection into a real-life example using an ASP.NET Core app, and details the use methods within it. He also looks at the common errors when using dependency injection and how to resolve them.",Course,2022-08-21 15:06 UTC,N/A,false,N/A,
Python Quick Start,"Get a fast-paced introduction to Python. In this course, you can learn what Python is and why it's become such a powerful and in-demand programming language. Python expert and trainer Lavanya Vijayan shares the fundamentals of programming in Python with data types, variables, functions, sequences, conditional statements, iteration, and recursion. The course concludes with a short introduction to object-oriented programming in Python. Learning a new programming language shouldn't be hard; with this course, you can learn the basics you need to become proficient in Python, and decide if it’s the right language for your projects.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2022-07-30 05:04 UTC,N/A,false,N/A,
Becoming a Thought Leader,"Do you hope to build lasting change and a legacy that matters? Then maybe it's time for you to become a thought leader. Thought leaders are recognized for their ideas and their contributions to the world. They share their expertise and engage a community of followers—while enhancing their own reputations in their fields.  In this course, thought leadership consultant and author Denise Brosseau defines exactly what a thought leader is and explains the risks and rewards that come with this unique position. She describes how to plan your strategy, develop a compelling message, build influence, maximize your visibility, and track your impact. She also shares tips to scale your ideas to reach the widest possible audience—online and off.",Course,2022-02-22 04:16 UTC,N/A,false,N/A,
Effective Listening,"Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend.",Course,2021-02-27 16:33 UTC,N/A,false,N/A,
Building React and ASP.NET MVC 5 Applications,"React.js is a popular framework that's especially suited to building web apps with ASP.NET MVC 5, but integrating the two frameworks can be challenging. In this course, instructor Kazi Nasrat Ali steps through how to wire these two frameworks together to develop full-stack React and ASP.NET MVC 5 web apps. Learn how to build a front end with React.js and a backend with ASP.NET MVC 5 and Entity Framework by creating a full-stack web app for a restaurant. Create user logins, add shopping cart functionality to your app, secure the API, and optimize for mobile. Upon wrapping up this course, you'll have the skills you need to combine the powers of React.js and ASP.NET MVC 5 to create high-quality, impactful webpages.",Course,2020-12-29 07:01 UTC,N/A,false,N/A,
SOLIDWORKS: Designing for Consumer Electronics,"Consumer electronics are all around us, and new products are created every year. In this course, instructor Johno Ellison teaches the basics of designing these items in SOLIDWORKS. Through this project-based course, he shows you how to design a game controller using SOLIDWORKS features like lofts, fillets, mirroring, and shell. Course projects include creating an assembly, adding fastening details, and even creating the buttons, joystick, and printed circuit board that go into the controller. Johno concludes with a discussion of development and potential next stages in the design process.",Course,2021-06-20 13:06 UTC,N/A,false,N/A,
Software Architecture Foundations,"Software architecture is not just putting together existing packages as if they were building blocks. It's a considered approach to design, which helps systems scale with your business and helps your team develop in a more agile way. This course explains what software architecture really is, how it can help you build better applications, and the relationship architecture has to implementation, design, and construction. Instructor Allen Holub discusses what the job looks like, whether you're a traditional or modern architect, and reviews the major theories and concepts you'll need to get started. He also covers Conway's law and domain-based thinking, the differences between system and enterprise architecture, and six of the most common architectural patterns, from monoliths to microservices.",Course,2022-01-29 13:31 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6481481946697388032?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Career Development Newsletter</a></div><br>What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-09-24 02:52 UTC,N/A,false,N/A,
Continuous Delivery with Azure DevOps,"Azure DevOps can help you achieve faster time to market, aligning people, processes, and technology for optimum flow. In this course, instructor Paul Hacker, a practicing Azure DevOps architect, shows you how you set up a continuous deployment pipeline in Azure DevOps. Learn why the DevOps approach to software is so useful for modern organizations, and get a complete overview of the different stages and tasks of the Azure-based release pipeline. Discover how to set up your Azure environment, install and configure release agents, and run automated CI builds, and set up the pipeline. Finally, Paul shows the CI/CD solution in action, as he walks you through the complete deployment experience.",Course,2021-11-25 10:42 UTC,N/A,false,N/A,
Angular: Workflows,"Discover how to be a more productive Angular developer. In this course, senior UI engineer Victor Mejia draws on his own experience developing front-end projects with Angular. He introduces a set of tools and workflows that will make your job building Angular apps more efficient and fun. First, review the Angular CLI and then dive into unit testing workflows. Find out how to configure Prettier to automate code formatting, and then learn how to build and publish Angular libraries. Finally, discover how to implement a continuous integration workflow, using CircleCI to set up gateway checks, run automated tests, and build out your apps.",Course,2020-10-04 09:32 UTC,N/A,false,N/A,
Git Essential Training: The Basics,"Learn how to use Git, the popular open-source version control software, to manage the source code for almost any project. In this course, Kevin Skoglund explores the fundamental concepts behind version control systems and the Git architecture. Using a step-by-step approach, he shows how to install Git and presents the commands that enable efficient code management. Learn how to add, change, and delete files in the repository; view a log of previous commits; and compare versions of a file. Plus, see how to undo changes to files and ignore certain files in a Git repository.",Course,2021-02-12 05:04 UTC,N/A,false,N/A,
Ten Tips for the C# Developer,"C# and .NET are deep areas. Even if you’ve been a developer for years, there are bound to be features you don’t even know exist. In this course, take a look at some of the hidden or interesting methods that can help you write better code in this multifaceted programming language. Hear tips for improving your everyday workflows in C# development including a method to help avoid race conditions when working with a dictionary. Learn how to use pattern matching to create more expressive and readable code branches. Explore the new C# 8 slice operators and how and when to flatten a one-many relationship. Discover fresh tactics like how to and engage another programmer’s technique, use the DebuggerDisplay attribute to specify what information is shown, and more.",Course,2021-01-01 07:41 UTC,N/A,false,N/A,
Learning Spring with Spring Boot (2019),"Spring is the hugely popular framework for developing Java applications in the enterprise space. In this course, discover how to leverage Spring Boot, which takes an opinionated view of the Spring platform. Follow Frank Moley as he walks through how to use Spring Boot to quickly and efficiently develop a practical, enterprise-style web application. As Frank explains how to develop the app, he helps to familiarize you with the general Spring framework. Plus, Frank dives into some of the basic projects of Spring that you can use to develop Java-based applications.",Course,2020-10-11 15:18 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-12-12 12:44 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2020-05-13 07:43 UTC,N/A,false,N/A,
.NET 6 Deep Dive,"This course takes a deep look into the changes to .NET with the release of .NET 6, the latest release of the Microsoft cross-platform, open-source framework. Instructor Walt Ritscher takes you through changes to .NET commands, language improvements to C++ and C#, web applications like Blazor and Visual Studio, and targeting multiple platforms. He also shows you how to edit code and use the Hot Reload feature to apply changes without restarting the application.",Course,2022-05-25 04:46 UTC,N/A,false,N/A,
Functional Programming with Streams in Java 9,"Functional programming is an alternative to object-oriented programming that is centered around pure functions. Functional applications avoid the shared state, and tend to be more concise and predictable than those using object-oriented code. This course is designed for Java developers who want to transition to functional-style programming using the new language features in Java 9, including lambdas and the streams framework. Computer science professor Marco Faella shows how to use method references and lambda expressions to refer to existing methods and define new functions on the fly, and use streams to convert sequential processing tasks into parallel computations—maximizing your hardware's potential. Plus, see these concepts in action, in an example that shows how functional-style programming can be used improve the performance of collision detection algorithms in 2D games.<br><br>

Note: To get the best results from this course, you should be familiar with basic Java programming concepts, including lists, maps, and sets, and have a suitable IDE, such as Eclipse, NetBeans, or IntelliJ. <br><br>

This course was created and produced by Packt Publishing. We are honored to host this training in our library.",Course,2020-05-09 08:32 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists,"Many data scientists know how to work with SQL—the industry-standard language for data analysis. But as data sizes grow, you need to know how to do more than simply read and write from a database. This course provides a more sophisticated approach to designing data models and optimizing queries in SQL. Instructor Dan Sullivan begins with the logical and physical design of tables—with particular focus on very large databases—and then presents a deep dive review of indexes, including specialized indexes and when to use them. The next section introduces query optimization and shows how to optimize basic, multi-join, and more complex queries. The course also covers SQL extensions, including user-defined functions and specialized data types. The techniques taught here enable more efficient analysis of large data sets using SQL, statistics, and custom business logic.",Course,2022-06-01 07:29 UTC,N/A,false,N/A,
